                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.2045,                 2.1749,                 2.4926,                 1.1575,                0.27614,                0.61056,                0.40904,                0.33654,                0.27614,                0.61056,                0.40759,                0.32038,                0.83094,                 1.2582,                 2.0293,                 1.0231,             0.00019176,             0.00019176,             0.00019176
                     50,                  1.203,                  2.146,                 2.5139,                 1.1649,                0.30555,                 0.5678,                0.40967,                0.33448,                0.30555,                 0.5678,                0.40795,                0.31969,                0.82893,                 1.2434,                 2.0415,                 1.0262,             0.00018993,             0.00018993,             0.00018993
                     51,                 1.1383,                 2.0824,                 2.4697,                 1.1369,                0.28689,                0.54748,                0.41096,                0.33337,                0.28689,                0.54748,                0.40906,                 0.3229,                0.83302,                 1.2433,                 2.0231,                  1.031,             0.00018809,             0.00018809,             0.00018809
                     52,                 1.2042,                 2.2313,                 2.4813,                 1.1796,                0.31351,                0.59558,                0.41984,                0.34193,                0.31351,                0.59558,                0.41798,                0.33117,                0.84527,                  1.234,                 1.9996,                  1.039,             0.00018626,             0.00018626,             0.00018626
                     53,                 1.2105,                 2.2109,                 2.4661,                  1.176,                0.32166,                0.58908,                0.42655,                0.34111,                0.32166,                0.58908,                0.42465,                0.33434,                0.87412,                 1.2484,                 1.9766,                 1.0463,             0.00018443,             0.00018443,             0.00018443
                     54,                 1.2583,                 2.1867,                 2.4914,                 1.1865,                0.32137,                0.63445,                0.43805,                0.34023,                0.32137,                0.63445,                0.43659,                0.33972,                0.97093,                  1.338,                   1.95,                 1.0704,             0.00018259,             0.00018259,             0.00018259
                     55,                 1.2596,                 2.2152,                 2.4289,                 1.1776,                0.32429,                0.60144,                0.44608,                0.35069,                0.32429,                0.60144,                0.44477,                0.35042,                0.89732,                 1.3063,                 1.9378,                 1.0393,             0.00018076,             0.00018076,             0.00018076
                     56,                 1.2239,                 2.1725,                 2.4299,                 1.1757,                0.28238,                0.64222,                 0.4575,                0.36281,                0.28156,                0.63703,                0.45464,                0.35397,                0.83999,                 1.2892,                 1.9401,                 1.0266,             0.00017892,             0.00017892,             0.00017892
                     57,                 1.2395,                 2.2411,                 2.3883,                 1.1773,                0.26155,                0.67983,                0.45864,                0.36502,                0.25935,                0.66942,                0.45478,                0.35524,                0.84706,                 1.2695,                 1.9376,                  1.034,             0.00017709,             0.00017709,             0.00017709
                     58,                 1.1795,                 2.1411,                 2.4055,                 1.1524,                0.27575,                0.71454,                0.45761,                0.36539,                0.27575,                0.71454,                0.45663,                0.35741,                0.85569,                  1.237,                 1.9239,                 1.0306,             0.00017525,             0.00017525,             0.00017525
                     59,                 1.2045,                 2.1041,                 2.3401,                 1.1618,                0.28831,                0.67628,                0.46569,                0.37278,                0.28616,                0.66767,                0.46361,                0.36459,                0.83368,                 1.2201,                 1.8921,                 1.0195,             0.00017342,             0.00017342,             0.00017342
                     60,                 1.1898,                 2.0656,                 2.3411,                 1.1373,                0.29996,                0.63132,                 0.4623,                0.37412,                0.29996,                0.63132,                0.46055,                0.36796,                0.81536,                  1.219,                 1.8657,                 1.0222,             0.00017158,             0.00017158,             0.00017158
                     61,                 1.1216,                 1.9926,                  2.321,                 1.1426,                0.30422,                 0.6314,                0.45728,                0.36468,                0.30422,                 0.6314,                0.45554,                0.36518,                0.82265,                 1.2018,                 1.8501,                 1.0268,             0.00016975,             0.00016975,             0.00016975
                     62,                 1.1504,                 2.0229,                 2.3346,                 1.1358,                0.29548,                0.65967,                0.44791,                0.35316,                0.29548,                0.65967,                0.44698,                0.35789,                0.83956,                 1.2031,                 1.8512,                 1.0229,             0.00016791,             0.00016791,             0.00016791
